FIPS,CENSUS_2010_POP
01001,"54,571"
01003,"182,265"
01005,"27,457"
01007,"22,915"
01009,"57,322"
01011,"10,914"
01013,"20,947"
01015,"118,572"
01017,"34,215"
01019,"25,989"
01021,"43,643"
01023,"13,859"
01025,"25,833"
01027,"13,932"
01029,"14,972"
01031,"49,948"
01033,"54,428"
01035,"13,228"
01037,"11,539"
01039,"37,765"
01041,"13,906"
01043,"80,406"
01045,"50,251"
01047,"43,820"
01049,"71,109"
01051,"79,303"
01053,"38,319"
01055,"104,430"
01057,"17,241"
01059,"31,704"
01061,"26,790"
01063,"9,045"
01065,"15,760"
01067,"17,302"
01069,"101,547"
01071,"53,227"
01073,"658,466"
01075,"14,564"
01077,"92,709"
01079,"34,339"
01081,"140,247"
01083,"82,782"
01085,"11,299"
01087,"21,452"
01089,"334,811"
01091,"21,027"
01093,"30,776"
01095,"93,019"
01097,"412,992"
01099,"23,068"
01101,"229,363"
01103,"119,490"
01105,"10,591"
01107,"19,746"
01109,"32,899"
01111,"22,913"
01113,"52,947"
01115,"83,593"
01117,"195,085"
01119,"13,763"
01121,"82,291"
01123,"41,616"
01125,"194,656"
01127,"67,023"
01129,"17,581"
01131,"11,670"
01133,"24,484"
02013,"3,141"
02016,"5,561"
02020,"291,826"
02050,"17,013"
02060,997
02068,"1,826"
02070,"4,847"
02090,"97,581"
02100,"2,508"
02105,"2,150"
02110,"31,275"
02122,"55,400"
02130,"13,477"
02150,"13,592"
02158,"7,459"
02164,"1,631"
02170,"88,995"
02180,"9,492"
02185,"9,430"
02188,"7,523"
02195,"3,815"
02198,"5,559"
02220,"8,881"
02230,968
02240,"7,029"
02261,"9,636"
02275,"2,369"
02282,662
02290,"5,588"
04001,"71,518"
04003,"131,346"
04005,"134,421"
04007,"53,597"
04009,"37,220"
04011,"8,437"
04012,"20,489"
04013,"3,817,117"
04015,"200,186"
04017,"107,449"
04019,"980,263"
04021,"375,770"
04023,"47,420"
04025,"211,033"
04027,"195,751"
05001,"19,019"
05003,"21,853"
05005,"41,513"
05007,"221,339"
05009,"36,903"
05011,"11,508"
05013,"5,368"
05015,"27,446"
05017,"11,800"
05019,"22,995"
05021,"16,083"
05023,"25,970"
05025,"8,689"
05027,"24,552"
05029,"21,273"
05031,"96,443"
05033,"61,948"
05035,"50,902"
05037,"17,870"
05039,"8,116"
05041,"13,008"
05043,"18,509"
05045,"113,237"
05047,"18,125"
05049,"12,245"
05051,"96,024"
05053,"17,853"
05055,"42,090"
05057,"22,609"
05059,"32,923"
05061,"13,789"
05063,"36,647"
05065,"13,696"
05067,"17,997"
05069,"77,435"
05071,"25,540"
05073,"7,645"
05075,"17,415"
05077,"10,424"
05079,"14,134"
05081,"13,171"
05083,"22,353"
05085,"68,356"
05087,"15,717"
05089,"16,653"
05091,"43,462"
05093,"46,480"
05095,"8,149"
05097,"9,487"
05099,"8,997"
05101,"8,330"
05103,"26,120"
05105,"10,445"
05107,"21,757"
05109,"11,291"
05111,"24,583"
05113,"20,662"
05115,"61,754"
05117,"8,715"
05119,"382,748"
05121,"17,969"
05123,"28,258"
05125,"107,118"
05127,"11,233"
05129,"8,195"
05131,"125,744"
05133,"17,058"
05135,"17,264"
05137,"12,394"
05139,"41,639"
05141,"17,295"
05143,"203,065"
05145,"77,076"
05147,"7,260"
05149,"22,185"
06001,"1,510,271"
06003,"1,175"
06005,"38,091"
06007,"220,000"
06009,"45,578"
06011,"21,419"
06013,"1,049,025"
06015,"28,610"
06017,"181,058"
06019,"930,450"
06021,"28,122"
06023,"134,623"
06025,"174,528"
06027,"18,546"
06029,"839,631"
06031,"152,982"
06033,"64,665"
06035,"34,895"
06037,"9,818,605"
06039,"150,865"
06041,"252,409"
06043,"18,251"
06045,"87,841"
06047,"255,793"
06049,"9,686"
06051,"14,202"
06053,"415,057"
06055,"136,484"
06057,"98,764"
06059,"3,010,232"
06061,"348,432"
06063,"20,007"
06065,"2,189,641"
06067,"1,418,788"
06069,"55,269"
06071,"2,035,210"
06073,"3,095,313"
06075,"805,235"
06077,"685,306"
06079,"269,637"
06081,"718,451"
06083,"423,895"
06085,"1,781,642"
06087,"262,382"
06089,"177,223"
06091,"3,240"
06093,"44,900"
06095,"413,344"
06097,"483,878"
06099,"514,453"
06101,"94,737"
06103,"63,463"
06105,"13,786"
06107,"442,179"
06109,"55,365"
06111,"823,318"
06113,"200,849"
06115,"72,155"
08001,"441,603"
08003,"15,445"
08005,"572,003"
08007,"12,084"
08009,"3,788"
08011,"6,499"
08013,"294,567"
08014,"55,889"
08015,"17,809"
08017,"1,836"
08019,"9,088"
08021,"8,256"
08023,"3,524"
08025,"5,823"
08027,"4,255"
08029,"30,952"
08031,"600,158"
08033,"2,064"
08035,"285,465"
08037,"52,197"
08039,"23,086"
08041,"622,263"
08043,"46,824"
08045,"56,389"
08047,"5,441"
08049,"14,843"
08051,"15,324"
08053,843
08055,"6,711"
08057,"1,394"
08059,"534,543"
08061,"1,398"
08063,"8,270"
08065,"7,310"
08067,"51,334"
08069,"299,630"
08071,"15,507"
08073,"5,467"
08075,"22,709"
08077,"146,723"
08079,712
08081,"13,795"
08083,"25,535"
08085,"41,276"
08087,"28,159"
08089,"18,831"
08091,"4,436"
08093,"16,206"
08095,"4,442"
08097,"17,148"
08099,"12,551"
08101,"159,063"
08103,"6,666"
08105,"11,982"
08107,"23,509"
08109,"6,108"
08111,699
08113,"7,359"
08115,"2,379"
08117,"27,994"
08119,"23,350"
08121,"4,814"
08123,"252,825"
08125,"10,043"
09001,"916,829"
09003,"894,014"
09005,"189,927"
09007,"165,676"
09009,"862,477"
09011,"274,055"
09013,"152,691"
09015,"118,428"
10001,"162,310"
10003,"538,479"
10005,"197,145"
11001,"601,723"
12001,"247,336"
12003,"27,115"
12005,"168,852"
12007,"28,520"
12009,"543,376"
12011,"1,748,066"
12013,"14,625"
12015,"159,978"
12017,"141,236"
12019,"190,865"
12021,"321,520"
12023,"67,531"
12027,"34,862"
12029,"16,422"
12031,"864,263"
12033,"297,619"
12035,"95,696"
12037,"11,549"
12039,"46,389"
12041,"16,939"
12043,"12,884"
12045,"15,863"
12047,"14,799"
12049,"27,731"
12051,"39,140"
12053,"172,778"
12055,"98,786"
12057,"1,229,226"
12059,"19,927"
12061,"138,028"
12063,"49,746"
12065,"14,761"
12067,"8,870"
12069,"297,052"
12071,"618,754"
12073,"275,487"
12075,"40,801"
12077,"8,365"
12079,"19,224"
12081,"322,833"
12083,"331,298"
12085,"146,318"
12086,"2,496,435"
12087,"73,090"
12089,"73,314"
12091,"180,822"
12093,"39,996"
12095,"1,145,956"
12097,"268,685"
12099,"1,320,134"
12101,"464,697"
12103,"916,542"
12105,"602,095"
12107,"74,364"
12109,"190,039"
12111,"277,789"
12113,"151,372"
12115,"379,448"
12117,"422,718"
12119,"93,420"
12121,"41,551"
12123,"22,570"
12125,"15,535"
12127,"494,593"
12129,"30,776"
12131,"55,043"
12133,"24,896"
13001,"18,236"
13003,"8,375"
13005,"11,096"
13007,"3,451"
13009,"45,720"
13011,"18,395"
13013,"69,367"
13015,"100,157"
13017,"17,634"
13019,"19,286"
13021,"155,547"
13023,"13,063"
13025,"18,411"
13027,"16,243"
13029,"30,233"
13031,"70,217"
13033,"23,316"
13035,"23,655"
13037,"6,694"
13039,"50,513"
13043,"10,998"
13045,"110,527"
13047,"63,942"
13049,"12,171"
13051,"265,128"
13053,"11,267"
13055,"26,015"
13057,"214,346"
13059,"116,714"
13061,"3,183"
13063,"259,424"
13065,"6,798"
13067,"688,078"
13069,"42,356"
13071,"45,498"
13073,"124,053"
13075,"17,212"
13077,"127,317"
13079,"12,630"
13081,"23,439"
13083,"16,633"
13085,"22,330"
13087,"27,842"
13089,"691,893"
13091,"21,796"
13093,"14,918"
13095,"94,565"
13097,"132,403"
13099,"11,008"
13101,"4,034"
13103,"52,250"
13105,"20,166"
13107,"22,598"
13109,"11,000"
13111,"23,682"
13113,"106,567"
13115,"96,317"
13117,"175,511"
13119,"22,084"
13121,"920,581"
13123,"28,292"
13125,"3,082"
13127,"79,626"
13129,"55,186"
13131,"25,011"
13133,"15,994"
13135,"805,321"
13137,"43,041"
13139,"179,684"
13141,"9,429"
13143,"28,780"
13145,"32,024"
13147,"25,213"
13149,"11,834"
13151,"203,922"
13153,"139,900"
13155,"9,538"
13157,"60,485"
13159,"13,900"
13161,"15,068"
13163,"16,930"
13165,"8,340"
13167,"9,980"
13169,"28,669"
13171,"18,317"
13173,"10,078"
13175,"48,434"
13177,"28,298"
13179,"63,453"
13181,"7,996"
13183,"14,464"
13185,"109,233"
13187,"29,966"
13189,"21,875"
13191,"14,333"
13193,"14,740"
13195,"28,120"
13197,"8,742"
13199,"21,992"
13201,"6,125"
13205,"23,498"
13207,"26,424"
13209,"9,123"
13211,"17,868"
13213,"39,628"
13215,"189,885"
13217,"99,958"
13219,"32,808"
13221,"14,899"
13223,"142,324"
13225,"27,695"
13227,"29,431"
13229,"18,758"
13231,"17,869"
13233,"41,475"
13235,"12,010"
13237,"21,218"
13239,"2,513"
13241,"16,276"
13243,"7,719"
13245,"200,549"
13247,"85,215"
13249,"5,010"
13251,"14,593"
13253,"8,729"
13255,"64,073"
13257,"26,175"
13259,"6,058"
13261,"32,819"
13263,"6,865"
13265,"1,717"
13267,"25,520"
13269,"8,906"
13271,"16,500"
13273,"9,315"
13275,"44,720"
13277,"40,118"
13279,"27,223"
13281,"10,471"
13283,"6,885"
13285,"67,044"
13287,"8,930"
13289,"9,023"
13291,"21,356"
13293,"27,153"
13295,"68,756"
13297,"83,768"
13299,"36,312"
13301,"5,834"
13303,"21,187"
13305,"30,099"
13307,"2,799"
13309,"7,421"
13311,"27,144"
13313,"102,599"
13315,"9,255"
13317,"10,593"
13319,"9,563"
13321,"21,679"
15001,"185,079"
15003,"953,207"
15005,90
15007,"67,091"
15009,"154,834"
16001,"392,365"
16003,"3,976"
16005,"82,839"
16007,"5,986"
16009,"9,285"
16011,"45,607"
16013,"21,376"
16015,"7,028"
16017,"40,877"
16019,"104,234"
16021,"10,972"
16023,"2,891"
16025,"1,117"
16027,"188,923"
16029,"6,963"
16031,"22,952"
16033,982
16035,"8,761"
16037,"4,368"
16039,"27,038"
16041,"12,786"
16043,"13,242"
16045,"16,719"
16047,"15,464"
16049,"16,267"
16051,"26,140"
16053,"22,374"
16055,"138,494"
16057,"37,244"
16059,"7,936"
16061,"3,821"
16063,"5,208"
16065,"37,536"
16067,"20,069"
16069,"39,265"
16071,"4,286"
16073,"11,526"
16075,"22,623"
16077,"7,817"
16079,"12,765"
16081,"10,170"
16083,"77,230"
16085,"9,862"
16087,"10,198"
17001,"67,103"
17003,"8,238"
17005,"17,768"
17007,"54,165"
17009,"6,937"
17011,"34,978"
17013,"5,089"
17015,"15,387"
17017,"13,642"
17019,"201,081"
17021,"34,800"
17023,"16,335"
17025,"13,815"
17027,"37,762"
17029,"53,873"
17031,"5,194,675"
17033,"19,817"
17035,"11,048"
17037,"105,160"
17039,"16,561"
17041,"19,980"
17043,"916,924"
17045,"18,576"
17047,"6,721"
17049,"34,242"
17051,"22,140"
17053,"14,081"
17055,"39,561"
17057,"37,069"
17059,"5,589"
17061,"13,886"
17063,"50,063"
17065,"8,457"
17067,"19,104"
17069,"4,320"
17071,"7,331"
17073,"50,486"
17075,"29,718"
17077,"60,218"
17079,"9,698"
17081,"38,827"
17083,"22,985"
17085,"22,678"
17087,"12,582"
17089,"515,269"
17091,"113,449"
17093,"114,736"
17095,"52,919"
17097,"703,462"
17099,"113,924"
17101,"16,833"
17103,"36,031"
17105,"38,950"
17107,"30,305"
17109,"32,612"
17111,"308,760"
17113,"169,572"
17115,"110,768"
17117,"47,765"
17119,"269,282"
17121,"39,437"
17123,"12,640"
17125,"14,666"
17127,"15,429"
17129,"12,705"
17131,"16,434"
17133,"32,957"
17135,"30,104"
17137,"35,547"
17139,"14,846"
17141,"53,497"
17143,"186,494"
17145,"22,350"
17147,"16,729"
17149,"16,430"
17151,"4,470"
17153,"6,161"
17155,"6,006"
17157,"33,476"
17159,"16,233"
17161,"147,546"
17163,"270,056"
17165,"24,913"
17167,"197,465"
17169,"7,544"
17171,"5,355"
17173,"22,363"
17175,"5,994"
17177,"47,711"
17179,"135,394"
17181,"17,808"
17183,"81,625"
17185,"11,947"
17187,"17,707"
17189,"14,716"
17191,"16,760"
17193,"14,665"
17195,"58,498"
17197,"677,560"
17199,"66,357"
17201,"295,266"
17203,"38,664"
18001,"34,387"
18003,"355,329"
18005,"76,794"
18007,"8,854"
18009,"12,766"
18011,"56,640"
18013,"15,242"
18015,"20,155"
18017,"38,966"
18019,"110,232"
18021,"26,890"
18023,"33,224"
18025,"10,713"
18027,"31,648"
18029,"50,047"
18031,"25,740"
18033,"42,223"
18035,"117,671"
18037,"41,889"
18039,"197,559"
18041,"24,277"
18043,"74,578"
18045,"17,240"
18047,"23,087"
18049,"20,836"
18051,"33,503"
18053,"70,061"
18055,"33,165"
18057,"274,569"
18059,"70,002"
18061,"39,364"
18063,"145,448"
18065,"49,462"
18067,"82,752"
18069,"37,124"
18071,"42,376"
18073,"33,478"
18075,"21,253"
18077,"32,428"
18079,"28,525"
18081,"139,654"
18083,"38,440"
18085,"77,358"
18087,"37,128"
18089,"496,005"
18091,"111,467"
18093,"46,134"
18095,"131,636"
18097,"903,393"
18099,"47,051"
18101,"10,334"
18103,"36,903"
18105,"137,974"
18107,"38,124"
18109,"68,894"
18111,"14,244"
18113,"47,536"
18115,"6,128"
18117,"19,840"
18119,"21,575"
18121,"17,339"
18123,"19,338"
18125,"12,845"
18127,"164,343"
18129,"25,910"
18131,"13,402"
18133,"37,963"
18135,"26,171"
18137,"28,818"
18139,"17,392"
18141,"266,931"
18143,"24,181"
18145,"44,436"
18147,"20,952"
18149,"23,363"
18151,"34,185"
18153,"21,475"
18155,"10,613"
18157,"172,780"
18159,"15,936"
18161,"7,516"
18163,"179,703"
18165,"16,212"
18167,"107,848"
18169,"32,888"
18171,"8,508"
18173,"59,689"
18175,"28,262"
18177,"68,917"
18179,"27,636"
18181,"24,643"
18183,"33,292"
19001,"7,682"
19003,"4,029"
19005,"14,330"
19007,"12,887"
19009,"6,119"
19011,"26,076"
19013,"131,090"
19015,"26,306"
19017,"24,276"
19019,"20,958"
19021,"20,260"
19023,"14,867"
19025,"9,670"
19027,"20,816"
19029,"13,956"
19031,"18,499"
19033,"44,151"
19035,"12,072"
19037,"12,439"
19039,"9,286"
19041,"16,667"
19043,"18,129"
19045,"49,116"
19047,"17,096"
19049,"66,135"
19051,"8,753"
19053,"8,457"
19055,"17,764"
19057,"40,325"
19059,"16,667"
19061,"93,653"
19063,"10,302"
19065,"20,880"
19067,"16,303"
19069,"10,680"
19071,"7,441"
19073,"9,336"
19075,"12,453"
19077,"10,954"
19079,"15,673"
19081,"11,341"
19083,"17,534"
19085,"14,928"
19087,"20,145"
19089,"9,566"
19091,"9,815"
19093,"7,089"
19095,"16,355"
19097,"19,848"
19099,"36,842"
19101,"16,843"
19103,"130,882"
19105,"20,638"
19107,"10,511"
19109,"15,543"
19111,"35,862"
19113,"211,226"
19115,"11,387"
19117,"8,898"
19119,"11,581"
19121,"15,679"
19123,"22,381"
19125,"33,309"
19127,"40,648"
19129,"15,059"
19131,"10,776"
19133,"9,243"
19135,"7,970"
19137,"10,740"
19139,"42,745"
19141,"14,398"
19143,"6,462"
19145,"15,932"
19147,"9,421"
19149,"24,986"
19151,"7,310"
19153,"430,640"
19155,"93,158"
19157,"18,914"
19159,"5,131"
19161,"10,350"
19163,"165,224"
19165,"12,167"
19167,"33,704"
19169,"89,542"
19171,"17,767"
19173,"6,317"
19175,"12,534"
19177,"7,570"
19179,"35,625"
19181,"46,225"
19183,"21,704"
19185,"6,403"
19187,"38,013"
19189,"10,866"
19191,"21,056"
19193,"102,172"
19195,"7,598"
19197,"13,229"
20001,"13,371"
20003,"8,102"
20005,"16,924"
20007,"4,861"
20009,"27,674"
20011,"15,173"
20013,"9,984"
20015,"65,880"
20017,"2,790"
20019,"3,669"
20021,"21,603"
20023,"2,726"
20025,"2,215"
20027,"8,535"
20029,"9,533"
20031,"8,601"
20033,"1,891"
20035,"36,311"
20037,"39,134"
20039,"2,961"
20041,"19,754"
20043,"7,945"
20045,"110,826"
20047,"3,037"
20049,"2,882"
20051,"28,452"
20053,"6,497"
20055,"36,776"
20057,"33,848"
20059,"25,992"
20061,"34,362"
20063,"2,695"
20065,"2,597"
20067,"7,829"
20069,"6,006"
20071,"1,247"
20073,"6,689"
20075,"2,690"
20077,"6,034"
20079,"34,684"
20081,"4,256"
20083,"1,916"
20085,"13,462"
20087,"19,126"
20089,"3,077"
20091,"544,179"
20093,"3,977"
20095,"7,858"
20097,"2,553"
20099,"21,607"
20101,"1,750"
20103,"76,227"
20105,"3,241"
20107,"9,656"
20109,"2,756"
20111,"33,690"
20113,"29,180"
20115,"12,660"
20117,"10,117"
20119,"4,575"
20121,"32,787"
20123,"6,373"
20125,"35,471"
20127,"5,923"
20129,"3,233"
20131,"10,178"
20133,"16,512"
20135,"3,107"
20137,"5,671"
20139,"16,295"
20141,"3,858"
20143,"6,091"
20145,"6,973"
20147,"5,642"
20149,"21,604"
20151,"9,656"
20153,"2,519"
20155,"64,511"
20157,"4,980"
20159,"10,083"
20161,"71,115"
20163,"5,181"
20165,"3,307"
20167,"6,970"
20169,"55,606"
20171,"4,936"
20173,"498,365"
20175,"22,952"
20177,"177,934"
20179,"2,556"
20181,"6,010"
20183,"3,853"
20185,"4,437"
20187,"2,235"
20189,"5,724"
20191,"24,132"
20193,"7,900"
20195,"3,001"
20197,"7,053"
20199,"1,485"
20201,"5,799"
20203,"2,234"
20205,"9,409"
20207,"3,309"
20209,"157,505"
21001,"18,656"
21003,"19,956"
21005,"21,421"
21007,"8,249"
21009,"42,173"
21011,"11,591"
21013,"28,691"
21015,"118,811"
21017,"19,985"
21019,"49,542"
21021,"28,432"
21023,"8,488"
21025,"13,878"
21027,"20,059"
21029,"74,319"
21031,"12,690"
21033,"12,984"
21035,"37,191"
21037,"90,336"
21039,"5,104"
21041,"10,811"
21043,"27,720"
21045,"15,955"
21047,"73,955"
21049,"35,613"
21051,"21,730"
21053,"10,272"
21055,"9,315"
21057,"6,856"
21059,"96,656"
21061,"12,161"
21063,"7,852"
21065,"14,672"
21067,"295,803"
21069,"14,348"
21071,"39,451"
21073,"49,285"
21075,"6,813"
21077,"8,589"
21079,"16,912"
21081,"24,662"
21083,"37,121"
21085,"25,746"
21087,"11,258"
21089,"36,910"
21091,"8,565"
21093,"105,543"
21095,"29,278"
21097,"18,846"
21099,"18,199"
21101,"46,250"
21103,"15,416"
21105,"4,902"
21107,"46,920"
21109,"13,494"
21111,"741,096"
21113,"48,586"
21115,"23,356"
21117,"159,720"
21119,"16,346"
21121,"31,883"
21123,"14,193"
21125,"58,849"
21127,"15,860"
21129,"7,887"
21131,"11,310"
21133,"24,519"
21135,"13,870"
21137,"24,742"
21139,"9,519"
21141,"26,835"
21143,"8,314"
21145,"65,565"
21147,"18,306"
21149,"9,531"
21151,"82,916"
21153,"13,333"
